title,artist,lyrics,emotion
One Minute,smail YK,"[Şarkı sözleri of ""One Minute""] One Minute One Minute Hey beybi one minute Bekle beni ah Sen istersinde gelmemmi Bilirsin ya Benim aşkım bana tatlı yapmış amman Geleceğim yanına az kaldı sıkı dur Seviyorum deli gibi geriye bakmam Sensiz olamam Hayatımın anlamı gücüm sensin Kimseden korkmam Sende beni istiyorsun Sabret bebeğim Geleceğim yanına as kaldı sıkı dur şişt Sen nerdeysen ben ordayım bak Biliyorum aklındayım Acele etme biraz sabret Geliyorum one minute One minute one minute one minute",aşk
Yakup ekin melek yuzlum,Yakup ekin,Herkezin olurum biraz var gururum Seni çok seviyor kalbimin bu sorunu Seninle bitmiyor peşinde sürüklüyor Başımın belası bu kalbim söz dinlemiyor Melek yüzlüm haberin yok mu senin Düşüyorsun gözümden sevenin çok mu senin Melek yüzlüm haberin yok mu senin Düşüyorsun gözümden sevenin çok mu senin Herkezin olurum biraz var gururum Seni çok seviyor kalbimin bu sorunu Seninle bitmiyor peşinde sürüklüyor Başımın belası bu kalbim söz dinlemiyor Melek yüzlüm haberin yok mu senin Düşüyorsun gözümden sevenin çok mu senin Melek yüzlüm haberin yok mu senin Düşüyorsun gözümden sevenin çok mu senin,aşk
Stavi Na Repeat,Nefer Flex,"Çükübikler bana denk olamazlar,in aşşağa koçum St petersburg'da rap böyle yapılır,style ottoman Kelimeler kalemimle akıtır kan,akabinde gelebilir battle ryhme Gari tapor nefer flex afilli rapine parmak atarken gülümse ibne Kimi sesler var kulak delen,kulak olmayınca bu iş böyle gider Kime nisbet var bilinmeden,bilinmedik bi tarza hizmet eden Nigalar westle,vs east,şş delikanlı burası türkiye Kaldırıım mertebesine gömülürken,kefene tersten giydirilirler Kalaylı kancık,rapi terk beyin terk,bile bile yine rapi katledecek Ufak bi kitlem hepinize kitler,bunu bilip ötsün tüm vekler Midwest ayrancı 2011,yeni bi tarz buna kon i zapomni Berlin record san peterstbug,stavi na repeat,ama etmeyin taklit Beni resmen taklit,edemezler taktik bu,adaşım çok lakin,edemezler tahrik Yarışır gölgemle adım adım,paslanmadım aksine hızlandım Nenenefer tek ve yek moruk,gerekene kefen,gerekene müzik olur",mutlu
Adı Batsın Ayrılığın,Sevda Yaman,Sevda Yaman ft Toprak gönderen Adı Batsın Ayrılığın Sevda Yaman ft Toprak gönderen Adı Batsın Ayrılığın Sözleri [Sevda Yaman] Kar etmiyor yanlızlığım Bu gun YINE zarardayım Sen are here bin pişmanım Gönderen Adı Batsın Ayrılığın Sen düzelmek ayrılığı Calma Bir daha kapımı Bir heves uğruna Sen zehir ettin hayatımı Git git Git .. kendine kendin hazırsındır Öyle Git [Toprak] Sus ağzından Yeller alsın Ayşe Aşkın Sonu hüsran olmasın Sen Affet aşkım Click büyüklük sende kalsın Sus ağzından Yeller alsın Ayşe Aşkın Sonu hüsran olmasın Sen Affet aşkım Click büyüklük sende kalsın Ben seviyorum seni bana inan inan Sevda Yaman gönderen Adı Batsın Ayrılığın Yaman] Ayaklarıma kapansandan uğruna ölürüm desenden Seni Eklendi çok seviyorum desende bitti artik onu sey bitti Bitti ASLA AMA ASLA seni Affet seni affetmemm ASLA ASLA ASLA [Toprak] Sus ağzından Yeller alsın Ayşe Aşkın Sonu hüsran olmasın Sen Affet aşkım Click büyüklük sende kalsın Sus ağzından Yeller alsın Ayşe Aşkın Sonu hüsran olmasın Sen Affet aşkım Click büyüklük sende kalsın Sus ağzından Yeller alsın Ayşe Aşkın Sonu hüsran olmasın Sen Affet aşkım Click büyüklük sende kalsın,aşk
İstisnalar Kaideyi Bozmaz,Sagopa Kajmer,"[Verse 1] İstisnalar kaideyi bozmaz, bu civan bu civarda fazla tozmaz Elimi verdim, kolumu kaptın, gözümü çektim, aklımı aldın Yaşam mı ben mi bedbahtım? Sallanırsa da yıkılmaz tahtım Canım yanar ödün kopar canım, tabularımı kendim yazdım [Hook](x2) İstisnalar kaideyi bozmaz, kuru yanında yaş telaş yapmaz Eli uzun alemin, cebi de tenha, sivri dillerin alayı kesilir anla [Verse 2] Paranın değeri arttı millet, insan değeri battı Kimlere kaldı artık? Sendeniz bir boş vakit arakladın, poponsa yan gelip de yattı Yine mi komada martı? İşlevsizlerin hepsi karttı Hanginiz bu piste havlu attı? Vaktim geldi çattı, kiminde temmuzun yakıydı, kimisi marttı Cebinde biriken az buçuksa şanstı İşler organize edildi ve amiral battı [Hook](x2)",aşk
Burası Berlin,Killa Hakan,[Verse 1] Sessiz sakin ani sisli ortam boğuk duman hava soğuk fani Olsun gençlere bir içecek benden ver doldur bardaklar dolsun Dertler kederler kafalardan silinsin yok olsun Uğraşma benimle senin sonun olur sana çok gelir bol olur Bırak ağzın burnun kırılır dağılırsın sağlam yarılırsın Hip hop meydanı dolu köpek Ufukta batan güneş kırmızı deprem yer sarsıldı Rap tartıldı hep tırtıllı yollar Sarar kara kollar uzun alan karanlık Tek kağıtlı sarılık hayat tadımlık Vuruş an saniye buluş kursun konuş her yer tuzak destur Yeraltı askeri kovalar gece gündüz sorgular Rap ordular hip hop komandolar rapi çembere aldi nöbeti koynunda tutar yo Çarşı pazar dolu kalabalık hektik panik hava sıcak esnaf tedirgin işler kesat Enflasyon düştü tansiyon Vatandaş nefes nefese kalp atışları duyulur borç yiğidin kamçısıdır Hep sırtına vurulur Vur sırtına ölene kadar ham ham sırtlan gibi yer kemik bırakmaz yam yam Geldi zam zamansız her zamanki gibi tam bam bam sinirler gergin Dur yapma oğlum lan lan... [Nakarat] Burası berlin havsi serin kaybolan gençlerin sayısı bilinmez Ölüm kokusu silinmez [Verse 2] Yer yarılsa içine düşsen girsen kaçsan kaçmaya çalışsan Çalışkan okulda olmalıydın soru sormalıydın eğer adamsan Titrek dizlerini saf yüreklerin arkasına kaçarak gizle dikizle hesap günü Çok yakindir Cehennem bağırır çağırır idam ipiyle Okyanuslar gibi esrarengiz esra kaybetti arkadaş dengesini seni gördü göreli Oldu kash la hayatından bıktı kafaya kurşunu sıktı gitti bitti Tükendi kepaze toprağa gider her her cenaze Dur olduğumuz gibi kalalım bir küskün bir barışık zaten ortalık karışık Güvence dediğin bir sarmaşık dolaşır onun bunun yanına gider laflaşır laf Çıkar Alkol iki tek bardak sise yaklaşır Damarlar gevşer dil kızgın oklaşır ölüm koklaşır koklarsın [Nakarat] Burası berlin havsi serin kaybolan gençlerin sayısı bilinmez Ölüm kokusu silinmez,öfke
Gheddo Turkish Remix,Eko Fresh,"[Verse 1: Killa Hakan] Kreuzberg City burası, fazla hava atma, dur Her yerde çakallar durur, gezer, burası ghetto'dur Öte dur, bak, eloğlu; kardeş tanımaz, bilmez Eloğlu akan gözyaşlarını annen gibi silmez Yollar tuzak, hep dövüş kavga, yok ki bunun başka bi' adı Burası Kreuzberg Kottbusser Tor, bi' başka olur tadı Energie'mi beton altında yatan topraktan alırım Sol kolumla blok eder, sağ yumruğumla sallarım Parlarım geceleri ghetto'ya, bi' yıldız gibi Yine de polisler ""Şüpheli!"" diyor bana; imajım hırsız tipi ""Kara kafayım."" demek bur'da gangsta olmak şart Biz anlatalım, sen dinle; yanlış ⸺ doğruyu tart! [Verse 2: Ceza] Korkular yağmur gibi, umutlar hep tükendi Zor yaşam, bir bakmışsın, bir dört duvar ve bir de akan tavan Nefes alıp verirken zoru yaşarsın, kol gezer düşman Ve farelerin içinde kalmışsın Söner soban, döner devran Sen aynı yerde, hep ben aynı yerde bekledim Çocukken saklandığım bahçeydi Sokaklar karanlık, komşular sıcak Gece gündüz aynı dertte insanlar dolup taşar O taşlı yollarında bitmez kavgalar Suçlu suçsuz saklanır, ayrımcı gözle bakılır İnsanlar itildi belki zorla, ghetto'lardan sakınılır Elinde oyuncak yok çocukların, belinde hep silah Belki istikbal yıkık dökük bi' yerde darmadağın [Nakarat: Ayaz Kaplı] Yaşadığım hayat çok zor Yarınımı bilemem Bana inanmazsan sor Bur'da olmak istemem Karanlıktır geceler Gündüzleri sessizlik Acı olur sevgiler Duyguları hapsettik [Verse 3: Yener Çevik] Mahallem gecekondu, duvarlar delik deşik Dert, çile, keder; dokur bende mekik Mutluluk toparlandı villalara çekik Seyirde gözler, sokaklarım beşik İzler dururum dünyayı kesik kesik Kolpaya, ite, puşta çevrilir tetik Kurulduğum saatler vermedi ki frikik Affedilmedik, affetmedik bilesin O yüzden bak dalgana, yönünü göresin Bulaşmaya kalkmayasın Rap'lenirsin Hiç ummadığın anda da sobelenirsin Yekte yek edersin, Yener ner'desin? [Verse 4: Eko Fresh] Sert caddeler ve sokaklar Ters bakma bana o kadar Senin tayfan ghetto'lardan bok anlar Hadi moruk beş ver Senin gangsta olduğunu yemezler Köln Kalk, Cordon Sport ceketler German Dream, biz Almanya'da kudurduk Hapiste kardeşlerimize uçurtmalar uçurduk Semt semt sokak Killa Cologne-Grembranx Sokak, al bu işte sana benden tokat Hiç sorma moruk arkamızda kaç kişi Kahvelerde diskolarda malımız da taş gibi Club kardeşler şişe yedik, siktir Hart(z) IV, her tarafta paranı biriktir (yeah) [Nakarat: Ayaz Kaplı] Yaşadığım hayat çok zor Yarınımı bilemem Bana inanmazsan sor Bur'da olmak istemem Karanlıktır geceler Gündüzleri sessizlik Acı olur sevgiler Duyguları hapsettik Yaşadığım hayat çok zor Yarınımı bilemem Bana inanmazsan sor Bur'da olmak istemem Karanlıktır geceler Gündüzleri sessizlik Acı olur sevgiler Duyguları hapsettik",üzgün
Görev Tamam Hüzün Molası,Eal F. Skillz,"Dinlediğim bu melodiler aklıma seni getiriyor Ah o eski günler beni günden güne bitiriyor 3 günlük dünyada 4 gün yaşasaydım sensiz 3 günü seçerdim 4 gündense nedensiz Misyonum sevmekse seni bunu başardım Gerekirse vazgeçmek her şeyden, bil ki kabulüm Bitmemiş şarkılar yazdım senin için Kelimeler kifayetsizdi, noktaları getiremedim Satırlarımın sonu hayatım gibi noktalı virgül; Olmadık şeyler yaparım, yeter ki bir gül Anlatamam ki gözlerin gözlerimdeyken; Yaşadığım vazgeçilmez dakikalar geçerken Tasvire gerek duyulan kelimeleri seçerken Zorlanışımın sebebi sensin, sebebimsin bitanem Ben ki düştüm bu duruma, bak bi geldim ne hale Son sürat çarpan kalbime etmelisin müdahale",aşk
Med Cezir,Ceza,"[""Med Cezir"" için şarkı sözleri] [Verse 1] Şair olmak isteyen bir gezgin Yaşama hevesi kalmamış bir bezgin Bezirgânın önde gideni zengin Rengi kalmamış ki kiminin engin Denizde lodosa yakalanan bir gemicinin Yaşamı hep çetin, metanetin de sınırı var beyim Kimisinin mutluluğu bir resim, kimisininki dört mevsim Kelebeğin ömrüne bedel bi' geleceğin Getirecek hediyesi nedir ki? Bilemedim Vay haline elekte elenenin Hayata ağlamaklı başlayan bu insanoğlu gördü geleceği Bir dilim ekmeğin sonunda bedelinin de alınacak olması gibi Düşünenin, düşenin de dostu olmamış ki batanın olsun Müttefik de belli değil ittifak da Mutlak mücadele kazanmak, zafere koşmak Yenilince ağlamak, yenmek için hile yapmak Her sonuçta pay kapmak dünya kuralı olmuş Taştan bozma kalplerse hep kanla dolmuş [Nakarat] Kanadımı kırdılar uçamadım anne, savaşa soktular koşturdum Kalbini açamayan herkesin aklına eğriyi doğruyu ben soktum Sonbaharda dökülen yapraktım, ilkbaharda geri geldim ben Aileme, dostuma selamlar olsun; gökkuşağındaki bir rengim ben Kanadımı kırdılar uçamadım anne, savaşa soktular koşturdum Kalbini açamayan herkesin aklına eğriyi doğruyu ben soktum Sonbaharda dökülen yapraktım, ilkbaharda geri geldim ben Aileme, dostuma selamlar olsun; yağmur sonrası güneşim ben [Verse 2] Zamanda yolculuk beyinde meşgul edebilir Fakat objektif olmaz Zararı yoktur, yararı olmadığı gibi Benliğinde kaybedilen her şey Benliğinde kaydedilen her şey Hesap masasında olabilir yalnızken Utanma, aç kalbini, gir topluma Göster haydi kendini ve ""Buradayım!"" de Savaşı kaybetme, yürüme geriye, dönme Bak ve ileriye ilerle Hisset deliğe düşme, dönme deliye Karaya boyanan adamın boynuna ilmeği de geçiren cellata Biçare lanet, hayalet olana dek Beklemek mi gerek acep? Çarkı dönmemiş ki feleğin gözünün yaşına baksın Gözümün yaşını alsın Kanımı, canımı alsın ancak canımı yakmasın Azap çeken gönüllere, kül olan tüm kalplere yağmur yağsın Kalp dağlayan tüm eller kalpleriyle dağlansın Kalp karalayanlar yansın [Nakarat] Kanadımı kırdılar uçamadım anne, savaşa soktular koşturdum Kalbini açamayan herkesin aklına eğriyi doğruyu ben soktum Sonbaharda dökülen yapraktım, ilkbaharda geri geldim ben Aileme, dostuma selamlar olsun; gökkuşağındaki bir rengim ben Kanadımı kırdılar uçamadım anne, savaşa soktular koşturdum Kalbini açamayan herkesin aklına eğriyi doğruyu ben soktum Sonbaharda dökülen yapraktım, ilkbaharda geri geldim ben Aileme, dostuma selamlar olsun; yağmur sonrası güneşim ben [Verse 3] Koşturmak boş durmaktan iyidir Boş durmak boş koşmaktan yararlı Hoş tutmak gönlü yas tutmaktan çok zormuş Yaşlanmak her dökülen yaprağın arkasından ağlamak gibidir Hayattan erken emeklilik seçim değildir Kadere bağlıdır, yazgıdır Hayat ince bir çizgi, narin bir çalgıdır Yüzlerce yıl emek veren insanın hasat zamanı ölü tohumlara mıdır? Her güne yeni umutlarla açılan gözler Yalanlarla ağlatılan gözler Dolanlarla aldatılan gözler Bir güzel sözle güler Akıtılan her damla ter yok oluşu engeller Negatif değillerse, art niyetli değillerse eğer, bu böyle devam eder Dilediğim her şey olmuyor Çabalar bazen çok nafile Nargilenin dumanına benzer hayallerim Sadece beni zehirler ve uçup gider Kafileler gibidir insanlar, bazen seni seyreder giderler Herkes kendine paha biçmiş, ben de karşılıksız bir çek Emeklerim dostluktan yana ama olmuyor Anneme sordum: ""Niçin böyle?"" Ama baktım o da ağlıyor [Nakarat] Kanadımı kırdılar uçamadım anne, savaşa soktular koşturdum Kalbini açamayan herkesin aklına eğriyi doğruyu ben soktum Sonbaharda dökülen yapraktım, ilkbaharda geri geldim ben Aileme, dostuma selamlar olsun; gökkuşağındaki bir rengim ben Kanadımı kırdılar uçamadım anne, savaşa soktular koşturdum Kalbini açamayan herkesin aklına eğriyi doğruyu ben soktum Sonbaharda dökülen yapraktım, ilkbaharda geri geldim ben Aileme, dostuma selamlar olsun; yağmur sonrası güneşim ben",aşk
Çatımda Radyolar,Farazi V Kayra,"[Verse 1] Çatımda radyolar, yanımda kalyonum, kapımda kış var Bu son sabah mı? Sanmam! Bu son yalansa, kanmam Yarına kalmadan uyan Kâbusunda radyolar Taşra pavyonunda yaması bol bi' çıngar Hangi şarkılar katlanır kılan? Hangi mecmua tepeni attıran? Her talan sonunda bağlanan Basiretin kadar da kutsal Or'da dikili duruna çetrefilli dert yanan Kalbin altı sahnelerle doldu izdiham Var mı tek bir duygu sağ çıkan? Yok tabii ki sade yaz Eşantiyon kalem, ajanda bul da yaz Kahpe hatırası akla gelmeden bi' yaz Doksan üç yazından yadigar masanda Bolca saç döküp, tüküre tüküre bugüne küfredip dayan bi' bak Makamsal kaygılar nerende? Boris Vian dilinde Nihai eylemin nefsi tahribatı üstümüzde Yani yarım akılla ahkâm kesilen her bir cin Akşam olmadan da burada terler Alkolik bir dul gün gelir kapında titrer Silkinirken isterim ki sen geber (geber) Yurtta kaldığım o dört senem adımlarımda at süren Oysa bitmeyen bir şarkı yazmak isteyen de bizler Maalesef dakik değildik, bahaneler sunup Bahaneler bulup, acımadan da telef edildik [Verse 2] Yazar tıkanması, şair çıkmazı Bir sabah ki darbe sonrası Burada bir sokak, ayna giy dolaş Dakkasında kafana tepene bin taş Peşine yorulacak nefes çok haydi kaç (kaç) Kaçmak hak'katen de zor sanat Gökdelenden atlasan yerde var kucak Kalorifer dibinde bir petekte şefkat Hangi mabedin dibinde söylesen de bulsak Arada yanına varsak onla kalsak Şimdi beni de yormadan adam akıllı söyle O gün tiyatro sonrası önüne gelene sövmek Or'da linç edilmek Onu bulup bir kenara çekmek Ölüme methiyeler düzüp gebermek İstemiştin olmadı neden? Çünkü yurtta saç döküp yavaş yavaş gebermek isteyendin aslen Haydi, hatırla yurt odanda son günün kafan güzel Yan tarafta radyodan gelen yürek düzer Sade sustun Kafandan hep geçen ne varsa bavula poşete koydun or'da durdun Son defa masanda eşantiyon ajanda peydah Durma yap bir siftah İstemiştim olmadı, dilim bu elime varmadı O son sabah, o son yalan, çatımda radyolar Gözümün yaşına bakmadan duvardan duvara vurdular Geri dönüp de bakma şansı yok, hâlâ or'dayım Radyolar kadar yürek düzen bir kıştayım",öfke
